ID,Organization,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Career URL,Suggested Roles
1,United Nations Secretariat,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.un.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
124,Africa CDC,Global Health & Healthcare,"Addis Ababa, Ethiopia",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://africacdc.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
125,eHealth Africa,Global Health & Healthcare,"Kano, Nigeria",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.ehealthafrica.org/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
126,IntraHealth International,Global Health & Healthcare,"Chapel Hill, USA",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.intrahealth.org/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
127,VillageReach,Global Health & Healthcare,"Seattle, USA",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.villagereach.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
128,Medic,Global Health & Healthcare,"San Francisco, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://medic.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
129,Dimagi,Global Health & Healthcare,"Cambridge, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://dimagi.com/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
130,OpenMRS,Global Health & Healthcare,Global,Global,Yes,High,Limited / role-dependent,Role and location dependent,https://openmrs.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
131,DHIS2 / HISP Centre,Global Health & Healthcare,"Oslo, Norway",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://dhis2.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
132,OpenHIE,Global Health & Healthcare,Global,Global,Yes,High,Limited / role-dependent,Role and location dependent,https://ohie.org/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
133,OpenLMIS,Global Health & Healthcare,Global,Global,Yes,High,Limited / role-dependent,Role and location dependent,https://openlmis.org/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
134,Bahmni,Global Health & Healthcare,Global,Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.bahmni.org/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
135,InterSystems,Global Health & Healthcare,"Cambridge, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.intersystems.com/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
136,Epic Systems,Global Health & Healthcare,"Verona, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://careers.epic.com/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
137,Oracle Health,Global Health & Healthcare,"Austin, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://careers.oracle.com/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
138,MEDITECH,Global Health & Healthcare,"Canton, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://ehr.meditech.com/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
139,Philips,Global Health & Healthcare,"Amsterdam, Netherlands",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.careers.philips.com/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
140,GE HealthCare,Global Health & Healthcare,"Chicago, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://careers.gehealthcare.com/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
141,Microsoft,Technology & Cloud,"Redmond, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.microsoft.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
142,Google,Technology & Cloud,"Mountain View, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.google.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
143,Amazon Web Services,Technology & Cloud,"Seattle, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.amazon.jobs/en/teams/amazon-web-services,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
144,Oracle,Technology & Cloud,"Austin, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.oracle.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
145,SAP,Technology & Cloud,"Walldorf, Germany",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.sap.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
146,IBM,Technology & Cloud,"Armonk, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.ibm.com/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
147,Cisco,Technology & Cloud,"San Jose, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.cisco.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
148,Red Hat,Technology & Cloud,"Raleigh, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.redhat.com/en/jobs,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
149,Salesforce,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.salesforce.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
150,ServiceNow,Technology & Cloud,"Santa Clara, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.servicenow.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
151,Dell Technologies,Technology & Cloud,"Round Rock, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.dell.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
152,Hewlett Packard Enterprise,Technology & Cloud,"Spring, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.hpe.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
153,HP Inc.,Technology & Cloud,"Palo Alto, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.hp.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
154,Lenovo,Technology & Cloud,"Beijing, China",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.lenovo.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
155,NVIDIA,Technology & Cloud,"Santa Clara, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.nvidia.com/en-us/about-nvidia/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
156,Intel,Technology & Cloud,"Santa Clara, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.intel.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
157,AMD,Technology & Cloud,"Santa Clara, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.amd.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
158,Qualcomm,Technology & Cloud,"San Diego, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.qualcomm.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
159,Cloudflare,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.cloudflare.com/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
160,Databricks,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.databricks.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
161,Snowflake,Technology & Cloud,"Bozeman, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.snowflake.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
162,MongoDB,Technology & Cloud,"New York, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.mongodb.com/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
163,Elastic,Technology & Cloud,"Amsterdam, Netherlands",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.elastic.co/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
164,GitHub,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.github.careers/careers-home,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
165,GitLab,Technology & Cloud,Remote,Global,Varies,High,Often role-dependent,Possible for selected roles,https://about.gitlab.com/jobs/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
166,Atlassian,Technology & Cloud,"Sydney, Australia",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.atlassian.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
167,HashiCorp,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.hashicorp.com/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
168,Grafana Labs,Technology & Cloud,"New York, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://grafana.com/about/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
169,SUSE,Technology & Cloud,Luxembourg,Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.suse.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
170,Canonical,Technology & Cloud,"London, UK",Global,Varies,High,Often role-dependent,Possible for selected roles,https://canonical.com/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
171,VMware by Broadcom,Technology & Cloud,"Palo Alto, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.broadcom.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
172,Broadcom,Technology & Cloud,"Palo Alto, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.broadcom.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
173,Palo Alto Networks,Technology & Cloud,"Santa Clara, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.paloaltonetworks.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
174,Fortinet,Technology & Cloud,"Sunnyvale, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.fortinet.com/corporate/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
175,CrowdStrike,Technology & Cloud,"Austin, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.crowdstrike.com/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
176,Zscaler,Technology & Cloud,"San Jose, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.zscaler.com/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
177,Okta,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.okta.com/company/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
178,CyberArk,Technology & Cloud,"Petah Tikva, Israel",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.cyberark.com/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
179,Check Point Software,Technology & Cloud,"Tel Aviv, Israel",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.checkpoint.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
180,Trend Micro,Technology & Cloud,"Tokyo, Japan",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.trendmicro.com/en_us/about/careers.html,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
181,UiPath,Technology & Cloud,"New York, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.uipath.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
182,Automation Anywhere,Technology & Cloud,"San Jose, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.automationanywhere.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
183,MuleSoft,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.salesforce.com/en/teams/mulesoft/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
184,Boomi,Technology & Cloud,"Conshohocken, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://boomi.com/company/careers/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
185,Informatica,Technology & Cloud,"Redwood City, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.informatica.com/about-us/careers.html,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
186,Workday,Technology & Cloud,"Pleasanton, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://workday.wd5.myworkdayjobs.com/Workday,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
187,Dynatrace,Technology & Cloud,"Waltham, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.dynatrace.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
188,New Relic,Technology & Cloud,"San Francisco, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://newrelic.com/about/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
189,Nutanix,Technology & Cloud,"San Jose, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.nutanix.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
190,NetApp,Technology & Cloud,"San Jose, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.netapp.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
191,Pure Storage,Technology & Cloud,"Santa Clara, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.purestorage.com/company/careers.html,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
192,Veeam,Technology & Cloud,"Columbus, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.veeam.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
193,F5,Technology & Cloud,"Seattle, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.f5.com/company/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
194,Akamai,Technology & Cloud,"Cambridge, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.akamai.com/careers,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
195,Huawei,Technology & Cloud,"Shenzhen, China",Global,Varies,High,Often role-dependent,Possible for selected roles,https://career.huawei.com/,Solutions Architect | Enterprise Architect | Cloud | Customer Success | Technical Program Management
196,Accenture,Consulting & Systems Integration,"Dublin, Ireland",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.accenture.com/us-en/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
197,Deloitte,Consulting & Systems Integration,"London, UK",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.deloitte.com/global/en/careers.html,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
198,PwC,Consulting & Systems Integration,"London, UK",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.pwc.com/gx/en/careers.html,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
199,EY,Consulting & Systems Integration,"London, UK",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.ey.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
200,KPMG,Consulting & Systems Integration,"Amstelveen, Netherlands",Global,Varies,High,Often role-dependent,Possible for selected roles,https://kpmg.com/xx/en/home/careers.html,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
201,Capgemini,Consulting & Systems Integration,"Paris, France",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.capgemini.com/careers/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
202,CGI,Consulting & Systems Integration,"Montreal, Canada",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.cgi.com/en/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
203,NTT DATA,Consulting & Systems Integration,"Tokyo, Japan",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.nttdata.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
204,Tata Consultancy Services,Consulting & Systems Integration,"Mumbai, India",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.tcs.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
205,Infosys,Consulting & Systems Integration,"Bengaluru, India",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.infosys.com/careers/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
206,Wipro,Consulting & Systems Integration,"Bengaluru, India",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.wipro.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
207,Cognizant,Consulting & Systems Integration,"Teaneck, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.cognizant.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
208,Tech Mahindra,Consulting & Systems Integration,"Pune, India",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.techmahindra.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
209,HCLTech,Consulting & Systems Integration,"Noida, India",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.hcltech.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
210,DXC Technology,Consulting & Systems Integration,"Ashburn, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.dxc.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
211,EPAM Systems,Consulting & Systems Integration,"Newtown, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.epam.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
212,Thoughtworks,Consulting & Systems Integration,"Chicago, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.thoughtworks.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
213,McKinsey & Company,Consulting & Systems Integration,"New York, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.mckinsey.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
214,Boston Consulting Group,Consulting & Systems Integration,"Boston, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.bcg.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
215,Bain & Company,Consulting & Systems Integration,"Boston, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.bain.com/careers/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
216,Oliver Wyman,Consulting & Systems Integration,"New York, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.marshmclennan.com/global/en/oliver-wyman,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
217,Arthur D. Little,Consulting & Systems Integration,"Brussels, Belgium",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.adlittle.com/en/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
218,Roland Berger,Consulting & Systems Integration,"Munich, Germany",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.rolandberger.com/en/Join/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
219,BearingPoint,Consulting & Systems Integration,"Amsterdam, Netherlands",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.bearingpoint.com/en/careers/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
220,Sopra Steria,Consulting & Systems Integration,"Paris, France",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.soprasteria.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
221,Publicis Sapient,Consulting & Systems Integration,"Boston, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.publicissapient.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
222,Slalom,Consulting & Systems Integration,"Seattle, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.slalom.com/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
223,Booz Allen Hamilton,Consulting & Systems Integration,"McLean, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://careers.boozallen.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
224,Gartner,Consulting & Systems Integration,"Stamford, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://jobs.gartner.com/,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
225,IDC,Consulting & Systems Integration,"Needham, USA",Global,Varies,High,Often role-dependent,Possible for selected roles,https://www.idc.com/about/careers,Enterprise Architecture | Digital Transformation | Technology Consulting | ERP | Program Delivery
226,Vodafone Group,Telecom & Digital Infrastructure,"Newbury, UK",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://careers.vodafone.com/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
227,Vodafone Egypt,Telecom & Digital Infrastructure,"Cairo, Egypt",Middle East,Varies,High,Limited / role-dependent,Role and location dependent,https://web.vodafone.com.eg/en/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
228,Orange Group,Telecom & Digital Infrastructure,"Paris, France",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://orange.jobs/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
229,Orange Egypt,Telecom & Digital Infrastructure,"Cairo, Egypt",Middle East,Varies,High,Limited / role-dependent,Role and location dependent,https://orange.jobs/site/en-orange-egypt/index.htm,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
230,Telecom Egypt,Telecom & Digital Infrastructure,"Cairo, Egypt",Middle East,Varies,High,Limited / role-dependent,Role and location dependent,https://www.te.eg/wps/portal/te/About/Careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
231,Etisalat by e&,Telecom & Digital Infrastructure,"Abu Dhabi, UAE",Middle East,Varies,High,Limited / role-dependent,Role and location dependent,https://careers.eand.com/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
232,e& Egypt,Telecom & Digital Infrastructure,"Cairo, Egypt",Middle East,Varies,High,Limited / role-dependent,Role and location dependent,https://www.etisalat.eg/portal/pages/about/careers.html,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
233,MTN Group,Telecom & Digital Infrastructure,"Johannesburg, South Africa",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.mtn.com/careers/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
234,Airtel Africa,Telecom & Digital Infrastructure,"London, UK",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.airtel.africa/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
235,Safaricom,Telecom & Digital Infrastructure,"Nairobi, Kenya",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.safaricom.co.ke/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
236,Liquid Intelligent Technologies,Telecom & Digital Infrastructure,"London, UK",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://liquid.tech/careers/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
237,MainOne,Telecom & Digital Infrastructure,"Lagos, Nigeria",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.mainone.net/careers/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
238,Bayobab,Telecom & Digital Infrastructure,"Johannesburg, South Africa",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.bayobab.africa/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
239,Econet Wireless,Telecom & Digital Infrastructure,"Harare, Zimbabwe",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.econet.co.zw/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
240,Telkom South Africa,Telecom & Digital Infrastructure,"Pretoria, South Africa",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.telkom.co.za/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
241,Ericsson,Telecom & Digital Infrastructure,"Stockholm, Sweden",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://www.ericsson.com/en/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
242,Nokia,Telecom & Digital Infrastructure,"Espoo, Finland",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://www.nokia.com/about-us/careers/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
243,ZTE,Telecom & Digital Infrastructure,"Shenzhen, China",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://www.zte.com.cn/global/about/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
244,Equinix,Telecom & Digital Infrastructure,"Redwood City, USA",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://careers.equinix.com/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
245,Digital Realty,Telecom & Digital Infrastructure,"Austin, USA",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://careers.digitalrealty.com/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
246,American Tower,Telecom & Digital Infrastructure,"Boston, USA",Global,Varies,High,Limited / role-dependent,Role and location dependent,https://careers.americantower.com/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
247,IHS Towers,Telecom & Digital Infrastructure,"London, UK",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.ihstowers.com/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
248,Africa Data Centres,Telecom & Digital Infrastructure,"Johannesburg, South Africa",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.africadatacentres.com/careers/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
249,Rack Centre,Telecom & Digital Infrastructure,"Lagos, Nigeria",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://www.rack-centre.com/careers/,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
250,G42,Telecom & Digital Infrastructure,"Abu Dhabi, UAE",Middle East,Varies,High,Limited / role-dependent,Role and location dependent,https://www.g42.ai/careers,Enterprise Systems | Network/Cloud Architecture | IT Operations | Digital Platforms | Cybersecurity
