ID,Company,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Link Type,Career / Official URL,Suggested ICT Roles
1,Pfizer,Global Pharmaceuticals,"New York, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.pfizer.com/about/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
104,Insmed,Biotechnology & Specialty Pharma,"Bridgewater, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.insmed.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
105,Vaxcyte,Biotechnology & Specialty Pharma,"San Carlos, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.vaxcyte.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
106,Apellis Pharmaceuticals,Biotechnology & Specialty Pharma,"Waltham, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://apellis.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
107,Prothena,Biotechnology & Specialty Pharma,"Dublin, Ireland",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.prothena.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
108,Ionis Pharmaceuticals,Biotechnology & Specialty Pharma,"Carlsbad, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.ionis.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
109,Halozyme Therapeutics,Biotechnology & Specialty Pharma,"San Diego, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.halozyme.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
110,Madrigal Pharmaceuticals,Biotechnology & Specialty Pharma,"West Conshohocken, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.madrigalpharma.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
111,Kiniksa Pharmaceuticals,Biotechnology & Specialty Pharma,"Hamilton, Bermuda",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.kiniksa.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
112,Krystal Biotech,Biotechnology & Specialty Pharma,"Pittsburgh, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.krystalbio.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
113,Vera Therapeutics,Biotechnology & Specialty Pharma,"Brisbane, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://veratx.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
114,Revolution Medicines,Biotechnology & Specialty Pharma,"Redwood City, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.revmed.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
115,Kymera Therapeutics,Biotechnology & Specialty Pharma,"Watertown, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.kymeratx.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
116,Arcellx,Biotechnology & Specialty Pharma,"Redwood City, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.arcellx.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
117,Caribou Biosciences,Biotechnology & Specialty Pharma,"Berkeley, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.cariboubio.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
118,Sana Biotechnology,Biotechnology & Specialty Pharma,"Seattle, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://sana.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
119,Fate Therapeutics,Biotechnology & Specialty Pharma,"San Diego, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://fatetherapeutics.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
120,Vir Biotechnology,Biotechnology & Specialty Pharma,"San Francisco, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.vir.bio/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
121,Medtronic,Medical Devices & Equipment,"Galway, Ireland",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.medtronic.com/en-us/our-company/careers.html,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
122,Abbott,Medical Devices & Equipment,"Abbott Park, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.jobs.abbott/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
123,Boston Scientific,Medical Devices & Equipment,"Marlborough, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.bostonscientific.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
124,Stryker,Medical Devices & Equipment,"Portage, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.stryker.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
125,"Becton, Dickinson and Company",Medical Devices & Equipment,"Franklin Lakes, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.bd.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
126,Baxter International,Medical Devices & Equipment,"Deerfield, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.baxter.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
127,Edwards Lifesciences,Medical Devices & Equipment,"Irvine, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.edwards.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
128,Intuitive Surgical,Medical Devices & Equipment,"Sunnyvale, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.intuitive.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
129,Zimmer Biomet,Medical Devices & Equipment,"Warsaw, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.zimmerbiomet.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
130,Smith+Nephew,Medical Devices & Equipment,"Watford, UK",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.smith-nephew.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
131,Alcon,Medical Devices & Equipment,"Geneva, Switzerland",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.alcon.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
132,The CooperCompanies,Medical Devices & Equipment,"San Ramon, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.coopercos.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
133,ResMed,Medical Devices & Equipment,"San Diego, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.resmed.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
134,Insulet,Medical Devices & Equipment,"Acton, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.insulet.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
135,Dexcom,Medical Devices & Equipment,"San Diego, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.dexcom.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
136,Tandem Diabetes Care,Medical Devices & Equipment,"San Diego, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.tandemdiabetes.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
137,Penumbra,Medical Devices & Equipment,"Alameda, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.penumbrainc.com/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
138,Integra LifeSciences,Medical Devices & Equipment,"Princeton, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.integralife.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
139,Masimo,Medical Devices & Equipment,"Irvine, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.masimo.com/company/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
140,Align Technology,Medical Devices & Equipment,"Tempe, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.aligntech.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
141,Envista Holdings,Medical Devices & Equipment,"Brea, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.envistaco.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
142,Straumann Group,Medical Devices & Equipment,"Basel, Switzerland",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.straumann.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
143,Dentsply Sirona,Medical Devices & Equipment,"Charlotte, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.dentsplysirona.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
144,Henry Schein,Medical Devices & Equipment,"Melville, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.henryschein.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
145,Olympus,Medical Devices & Equipment,"Tokyo, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.olympus-global.com/company/recruit/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
146,Terumo,Medical Devices & Equipment,"Tokyo, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.terumo.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
147,Nipro,Medical Devices & Equipment,"Osaka, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.nipro-group.com/en/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
148,Getinge,Medical Devices & Equipment,"Gothenburg, Sweden",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.getinge.com/int/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
149,Dräger,Medical Devices & Equipment,"Lübeck, Germany",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.draeger.com/en-us_us/Career,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
150,Elekta,Medical Devices & Equipment,"Stockholm, Sweden",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.elekta.com/company/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
151,Siemens Healthineers,Medical Devices & Equipment,"Erlangen, Germany",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.siemens-healthineers.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
152,GE HealthCare,Medical Devices & Equipment,"Chicago, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.gehealthcare.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
153,Philips,Medical Devices & Equipment,"Amsterdam, Netherlands",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.careers.philips.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
154,Canon Medical Systems,Medical Devices & Equipment,"Otawara, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://global.medical.canon/about/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
155,Fujifilm Healthcare,Medical Devices & Equipment,"Tokyo, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers-us.fujifilm.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
156,Samsung Medison,Medical Devices & Equipment,"Seoul, South Korea",Asia,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.samsungmedison.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
157,Mindray,Medical Devices & Equipment,"Shenzhen, China",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.mindray.com/en/career,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
158,Sonova,Medical Devices & Equipment,"Stäfa, Switzerland",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.sonova.com/en/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
159,Demant,Medical Devices & Equipment,"Smørum, Denmark",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.demant.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
160,Cochlear,Medical Devices & Equipment,"Sydney, Australia",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.cochlear.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
161,GN Group,Medical Devices & Equipment,"Ballerup, Denmark",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.gn.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
162,WS Audiology,Medical Devices & Equipment,"Lynge, Denmark",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.wsa.com/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
163,Integer Holdings,Medical Devices & Equipment,"Plano, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://integer.net/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
164,Teleflex,Medical Devices & Equipment,"Wayne, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.teleflex.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
165,ICU Medical,Medical Devices & Equipment,"San Clemente, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.icumed.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
166,Merit Medical Systems,Medical Devices & Equipment,"South Jordan, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.merit.com/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
167,Haemonetics,Medical Devices & Equipment,"Boston, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.haemonetics.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
168,Globus Medical,Medical Devices & Equipment,"Audubon, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.globusmedical.com/about/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
169,LivaNova,Medical Devices & Equipment,"London, UK",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.livanova.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
170,ConvaTec,Medical Devices & Equipment,"London, UK",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.convatec.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
171,Coloplast,Medical Devices & Equipment,"Humlebæk, Denmark",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.coloplast.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
172,Essity Health & Medical,Medical Devices & Equipment,"Stockholm, Sweden",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.essity.com/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
173,HARTMANN Group,Medical Devices & Equipment,"Heidenheim, Germany",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.hartmann.info/en-corp/career,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
174,B. Braun,Medical Devices & Equipment,"Melsungen, Germany",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.bbraun.com/en/career.html,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
175,Fresenius Medical Care,Medical Devices & Equipment,"Bad Homburg, Germany",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.freseniusmedicalcare.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
176,Nikkiso,Medical Devices & Equipment,"Tokyo, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.nikkiso.com/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
177,ZOLL Medical,Medical Devices & Equipment,"Chelmsford, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.zoll.com/about-zoll/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
178,Arthrex,Medical Devices & Equipment,"Naples, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.arthrex.com/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
179,Cook Medical,Medical Devices & Equipment,"Bloomington, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.cookmedical.com/about/careers/,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
180,Ambu,Medical Devices & Equipment,"Ballerup, Denmark",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.ambu.com/careers,Digital Health Platforms | Systems Integration | Enterprise Applications | Service Technology | Data Platforms
181,Roche Diagnostics,"Diagnostics, Laboratory & Life Science Tools","Rotkreuz, Switzerland",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.roche.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
182,Danaher,"Diagnostics, Laboratory & Life Science Tools","Washington, DC, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.danaher.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
183,Thermo Fisher Scientific,"Diagnostics, Laboratory & Life Science Tools","Waltham, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.thermofisher.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
184,Agilent Technologies,"Diagnostics, Laboratory & Life Science Tools","Santa Clara, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.agilent.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
185,Bio-Rad Laboratories,"Diagnostics, Laboratory & Life Science Tools","Hercules, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.bio-rad.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
186,QIAGEN,"Diagnostics, Laboratory & Life Science Tools","Venlo, Netherlands",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.qiagen.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
187,bioMérieux,"Diagnostics, Laboratory & Life Science Tools","Marcy-l'Étoile, France",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.biomerieux.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
188,Revvity,"Diagnostics, Laboratory & Life Science Tools","Waltham, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.revvity.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
189,Waters Corporation,"Diagnostics, Laboratory & Life Science Tools","Milford, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.waters.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
190,Bruker,"Diagnostics, Laboratory & Life Science Tools","Billerica, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.bruker.com/en/about/careers.html,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
191,Illumina,"Diagnostics, Laboratory & Life Science Tools","San Diego, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.illumina.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
192,Sysmex,"Diagnostics, Laboratory & Life Science Tools","Kobe, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.sysmex.co.jp/en/corporate/recruit/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
193,DiaSorin,"Diagnostics, Laboratory & Life Science Tools","Saluggia, Italy",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.diasorin.com/en/careers,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
194,Werfen,"Diagnostics, Laboratory & Life Science Tools","Barcelona, Spain",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.werfen.com/careers,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
195,QuidelOrtho,"Diagnostics, Laboratory & Life Science Tools","San Diego, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.quidelortho.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
196,Randox Laboratories,"Diagnostics, Laboratory & Life Science Tools","Crumlin, UK",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.randox.com/careers/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
197,Fujirebio,"Diagnostics, Laboratory & Life Science Tools","Tokyo, Japan",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.fujirebio.com/en/careers,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
198,Seegene,"Diagnostics, Laboratory & Life Science Tools","Seoul, South Korea",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.seegene.com/career,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
199,SD Biosensor,"Diagnostics, Laboratory & Life Science Tools","Suwon, South Korea",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Official site,https://www.sdbiosensor.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
200,Cepheid,"Diagnostics, Laboratory & Life Science Tools","Sunnyvale, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.danaher.com/global/en/cepheid,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
201,Beckman Coulter,"Diagnostics, Laboratory & Life Science Tools","Brea, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.danaher.com/global/en/beckman-coulter,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
202,Leica Biosystems,"Diagnostics, Laboratory & Life Science Tools","Nussloch, Germany",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.danaher.com/global/en/leica-biosystems,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
203,Radiometer,"Diagnostics, Laboratory & Life Science Tools","Brønshøj, Denmark",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.danaher.com/global/en/radiometer,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
204,Molecular Devices,"Diagnostics, Laboratory & Life Science Tools","San Jose, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.danaher.com/global/en/molecular-devices,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
205,IDEXX Laboratories,"Diagnostics, Laboratory & Life Science Tools","Westbrook, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.idexx.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
206,Eurofins Scientific,"Diagnostics, Laboratory & Life Science Tools",Luxembourg,Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.eurofins.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
207,Sonic Healthcare,"Diagnostics, Laboratory & Life Science Tools","Sydney, Australia",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.sonichealthcare.com/careers/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
208,Labcorp,"Diagnostics, Laboratory & Life Science Tools","Burlington, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.labcorp.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
209,Quest Diagnostics,"Diagnostics, Laboratory & Life Science Tools","Secaucus, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.questdiagnostics.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
210,NeoGenomics Laboratories,"Diagnostics, Laboratory & Life Science Tools","Fort Myers, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.neogenomics.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
211,Exact Sciences,"Diagnostics, Laboratory & Life Science Tools","Madison, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.exactsciences.com/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
212,Guardant Health,"Diagnostics, Laboratory & Life Science Tools","Palo Alto, USA",Global,Likely,High,Limited / role-dependent,Possible for selected specialist roles,Careers,https://guardanthealth.com/careers/,Laboratory Informatics | LIMS | Enterprise Systems | Data & AI | Cybersecurity
